""	"V1"	"V2"
"cg15248935"	"13.482276587446"	"DNAJB6"
"cg18505837"	"13.1910905204311"	""
"cg17007108"	"13.1632312880115"	""
"cg18675097"	"13.0260933014979"	"NKAPL;NKAPL"
"cg16313944"	"12.9568900170323"	"ALDH3B1"
"cg23749856"	"12.8885775084638"	"CHST2"
"cg05694250"	"12.8631889522032"	"GPRIN2"
"cg08737116"	"12.8240900433706"	"SLC22A15"
"cg09832243"	"12.7489425310517"	"CNTNAP5"
"cg11896923"	"12.5986111585556"	"PNMT"
"cg04854089"	"12.3642089523451"	"DGKZ"
"cg16860712"	"12.0891429232076"	"EHD2"
"cg17445140"	"12.0875241914342"	"ATAD3A;ATAD3A;ATAD3A"
"cg16139749"	"11.4253890061278"	"WNT2B"
"cg00925722"	"11.2978436798453"	"EDC4;NRN1L"
"cg13408046"	"11.2039366426592"	""
"cg27630202"	"11.1319112877563"	"PCDHGA4;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGA11;PCDHGB3;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB7;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA11;PCDHGA11;PCDHGA7;PCDHGB2;PCDHGB5"
"cg25703338"	"11.0998213062868"	"ATP10A"
"cg07870307"	"11.0324120865932"	"PCDHGA4;PCDHGA2;PCDHGB2;PCDHGA5;PCDHGA1;PCDHGB1;PCDHGA5;PCDHGA3"
"cg09806683"	"11.0155637296688"	"SKI"
"cg14579546"	"11.0025676001916"	"COL27A1"
"cg02161292"	"10.976796431123"	"PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5"
"cg12316010"	"10.8461636287329"	"POLS"
"cg13677800"	"10.8296461704368"	"GPR26"
"cg02803847"	"10.804179790955"	"BUB3;BUB3"
"cg06804177"	"10.75983086275"	"MEG8"
"cg02130107"	"10.4978420818709"	"C16orf53"
"cg07496545"	"10.3984334573477"	"SLC25A2"
"cg07505391"	"10.3719020915418"	"HLA-C"
"cg03259243"	"10.3613047235235"	""
"cg11782409"	"10.3598834049928"	"XKR4;SBF1P1"
"cg19743690"	"10.3576374963654"	"PRDM6"
"cg12986700"	"10.0235741091052"	"NPFFR2;NPFFR2;NPFFR2"
"cg25245569"	"9.81239623705387"	"C2orf61;C2orf61"
"cg18054674"	"9.78529364555572"	"PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA6;PCDHGB2;PCDHGB3"
"cg15563070"	"9.71382168081238"	""
"cg03600516"	"9.70161201194011"	"FAM105A"
"cg11980791"	"9.6465770010007"	"COQ4;COQ4;TRUB2"
"cg00206999"	"9.63566177274969"	"ABHD6"
"cg09177194"	"9.56936450114612"	"C11orf48"
"cg16014412"	"9.54790295934482"	""
"cg03037969"	"9.52160821019451"	"SNPH"
"cg15922057"	"9.37840321559909"	""
"cg13451886"	"9.37120762904509"	"SLFN5"
"cg20103825"	"9.27087925227955"	"MYOM2"
"cg00873351"	"9.11648067969593"	"CD300LB"
"cg23663298"	"9.06663477705537"	"INCENP;INCENP"
"cg08707847"	"9.00556827260201"	""
"cg16294363"	"8.96688521996625"	"KCNQ4;KCNQ4"
"cg13821038"	"8.91880645688584"	"WDR88"
"cg16300030"	"8.88592457220895"	"HLA-DMB"
"cg16407017"	"8.79583951347449"	"ZFYVE1;ZFYVE1"
"cg19324118"	"8.66398702507508"	"ATXN7L1;ATXN7L1"
"cg26853640"	"8.58972997877455"	"SPRED3;SPRED3;GGN"
"cg12592321"	"8.45562883051876"	"DAO;DAO"
"cg10034808"	"8.24818896201139"	""
"cg07124372"	"8.24094282113736"	"SMAD6;SMAD6"
"cg01080357"	"8.20907211113496"	"NCLN"
"cg02682520"	"8.20220429563386"	""
"cg12727795"	"8.13736034393864"	"PDGFRB"
"cg01980793"	"8.13731127175474"	"EIF2C2;EIF2C2"
"cg23482427"	"8.11109941207243"	"C2orf70"
"cg05001044"	"8.08126043166479"	"MIR1977"
"cg23123250"	"7.88765771195122"	"SPNS2"
"cg20153196"	"7.8776953510731"	"NEUROD2"
"cg10148755"	"7.74727034945147"	""
"cg11652496"	"7.68695074873983"	"PSTPIP1"
"cg05408686"	"7.6301352138335"	"CX3CL1"
"cg25907686"	"7.59010197375103"	"RNF213"
"cg13170076"	"7.46035593406334"	""
"cg24716343"	"7.45747632955224"	"PCNXL2"
"cg00580497"	"7.38145339303239"	""
"cg15972544"	"7.16816214795544"	""
"cg27294008"	"6.933024192747"	"NEK4"
"cg02700130"	"6.91352019027746"	"LOC285401"
"cg08317263"	"6.88315471913518"	"CCDC69"
"cg07269819"	"6.75527695065667"	"PRIC285;PRIC285"
"cg08509927"	"6.65871043979181"	"C4orf50"
"cg25968437"	"6.6471829609904"	""
"cg11802765"	"6.55319846928843"	""
"cg05756780"	"6.51043845953361"	"IL6R;IL6R"
"cg04035728"	"6.42621543296437"	"CHRNA2"
"cg15970800"	"6.41993595062552"	"FHIT;FHIT"
"cg09122442"	"6.34556414611658"	""
"cg02660440"	"6.33974977895608"	"MIR199A1;DNM2;DNM2;DNM2;DNM2"
"cg01884715"	"6.04351549800415"	"GRB2;GRB2"
"cg01365049"	"6.03590447392406"	""
"cg07206293"	"5.93637767617089"	"C1orf187"
"cg06757585"	"5.90187223420811"	"PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA6;PCDHGB2;PCDHGB3"
"cg13387232"	"5.86118250872435"	"CRIPAK;CRIPAK"
"cg08923060"	"5.82071985942757"	"TRIAP1;GATC"
"cg23005057"	"5.75996081419166"	"DPYSL5"
"cg08704536"	"5.67815095568403"	""
"cg17029237"	"5.67447193733352"	"LLGL2;LLGL2;LLGL2"
"cg19922564"	"5.57924097842582"	"ARHGEF10L;ARHGEF10L"
"cg10300962"	"5.46704072386834"	"GABRR1"
"cg26094232"	"5.39694932576815"	""
"cg23428192"	"5.37862252824157"	"TMTC4;TMTC4"
"cg26976707"	"5.32884673572776"	""
"cg24776480"	"5.22781494527483"	"PRKCZ;PRKCZ;PRKCZ"
"cg20813374"	"5.17083334530555"	"FKBP5;FKBP5;FKBP5;FKBP5"
"cg06971761"	"4.90438783906919"	"AGPAT3;AGPAT3"
"cg23391006"	"4.69044516580007"	"OXTR;OXTR"
"cg26285749"	"4.66389231043176"	"PPM1F"
"cg18264210"	"4.59772798448761"	""
"cg26606789"	"4.58918797867947"	""
"cg04974062"	"4.3920985529194"	"PRDM13"
"cg10714284"	"4.30033245984334"	"HLA-DMB"
"cg19851401"	"4.2989531702927"	"DHDH"
"cg08324612"	"4.23970323267897"	""
"cg10339344"	"4.18469298098528"	"PRPF19"
"cg23260877"	"4.06865961469146"	"GFPT2"
"cg05062192"	"4.0631377249607"	"DNMT3L;DNMT3L"
"cg14537800"	"4.03271515290264"	"FGFBP2"
"cg05214748"	"3.95745306587692"	"PYCARD;PYCARD"
"cg08709385"	"3.90829547183489"	"POM121L1P"
"cg21950605"	"3.80746703616734"	"ABR;ABR"
"cg06616014"	"3.79130529484411"	"FBXW12;FBXW12;FBXW12;FBXW12;FBXW12;FBXW12"
"cg22171613"	"3.76020181720037"	"ACOT7;ACOT7;ACOT7;ACOT7"
"cg13458253"	"3.75318666428494"	"ANXA11;ANXA11;ANXA11"
"cg23241914"	"3.73740167758254"	"APOA2;APOA2"
"cg25209294"	"3.63302613145769"	"LOC646982;LOC646982"
"cg25457884"	"3.63293544140039"	"MYT1"
"cg26925450"	"3.57776097424693"	"SNORD115-19;SNORD115-17;SNORD115-18"
"cg01102073"	"3.5777347587903"	"GATA2;GATA2;GATA2"
"cg13084536"	"3.54454799205787"	""
"cg04976799"	"3.50774803684704"	"GPR123"
"cg11802469"	"3.48625601043525"	"MRAP2"
"cg12122403"	"3.25132623362118"	"SLC5A5"
"cg23021168"	"3.13769599898616"	"PAM;PAM;PAM;PAM"
"cg03646569"	"3.07994169592082"	"IFT140"
"cg11555926"	"3.07779069778662"	"C3orf77"
"cg19910231"	"3.06150949481426"	"PFKP"
"cg12062088"	"2.94233471146496"	"C19orf26"
"cg06639691"	"2.9304291716891"	"KCNK18"
"cg09734123"	"2.92596506147198"	"TMEM181"
"cg24602245"	"2.9161096850294"	"LRRC47"
"cg27446671"	"2.82132468127402"	"ANO7"
"cg21663667"	"2.76518019744812"	"HDLBP;HDLBP"
"cg10675725"	"2.7641530223631"	"GSDMD;GSDMD"
"cg26647324"	"2.52281148313541"	"CLCN7;CLCN7"
"cg19515398"	"2.41352666521964"	""
"cg08369943"	"2.32466916158074"	"L3MBTL;L3MBTL"
"cg04267101"	"2.27431336003941"	"EPN3"
"cg15169077"	"2.27030436065939"	"ENPP5"
"cg14572705"	"2.26309085148739"	"GRAMD4"
"cg11737230"	"2.25932893222137"	""
"cg06080831"	"2.20456535648038"	""
"cg16387436"	"2.17943549433436"	"DCDC2"
"cg07166171"	"2.12868997934397"	""
"cg21900078"	"2.05256473910332"	"PTPRN2;PTPRN2;PTPRN2"
"cg25889945"	"1.99667676438504"	"KCTD12;KCTD12"
"cg06540747"	"1.87745876259313"	""
"cg00410719"	"1.85863098383816"	""
"cg18516816"	"1.85525268514185"	"PLEKHF1"
"cg01360119"	"1.85050175405035"	"LOC728743"
"cg03918255"	"1.83253865353209"	""
"cg22387781"	"1.77564471434734"	""
"cg01973605"	"1.76249647054986"	"CASZ1;CASZ1"
"cg10840945"	"1.75181294477776"	"DENND5B"
"ch.15.1538350R"	"1.70977333147778"	"KIF7"
"cg25355599"	"1.67698082137252"	""
"cg08828886"	"1.67042743430375"	"CHFR;CHFR;CHFR;CHFR;CHFR"
"cg20042116"	"1.61015918231964"	"POM121L9P"
"cg22553634"	"1.60155696349476"	""
"cg21222559"	"1.5939423208948"	"SORCS2"
"cg00853853"	"1.57954050324352"	"CARD9;CARD9;DNLZ"
"cg00439790"	"1.57018227056968"	"LRP1"
"cg15384301"	"1.54897672272093"	"ACTR3B;ACTR3B"
"cg06664054"	"1.54199793440097"	""
"cg19532939"	"1.53155407207232"	"ART4"
"cg06838879"	"1.51766330579349"	"SYNPO;SYNPO"
"cg07338448"	"1.48395236176806"	"ZNF511"
"cg01152374"	"1.47667987912862"	""
"cg11658975"	"1.41618480542938"	"FAM120B"
"cg03500977"	"1.37987380328462"	"HLA-B"
"cg27156980"	"1.363305547402"	""
"cg18368669"	"1.33213795223179"	"PCGF3"
"cg23657558"	"1.32601010522358"	"SNW1;C14orf178;C14orf178"
"ch.17.45797972F"	"1.31711447865262"	""
"cg13223276"	"1.30389083262164"	"CHD5"
"cg00183546"	"1.23645450152628"	"RNF216;RNF216"
"cg19133023"	"1.07559212184078"	"CHID1;CHID1;CHID1;CHID1;CHID1"
"ch.20.10785098F"	"1.04496560338273"	""
"cg26068271"	"0.997373548730239"	""
"cg03673916"	"0.958831481291436"	"UBE2J1"
"cg00222472"	"0.930647969124067"	"PBX1"
"cg18316500"	"0.930177312743476"	"COL23A1"
"cg11640208"	"0.927901742869139"	"ADAM11"
"cg17488929"	"0.926325034801554"	""
"cg22063685"	"0.869421470909036"	"TIMM44"
"cg12112234"	"0.850224889784677"	"TGM4"
"cg14254419"	"0.827555773563885"	"AMPD2;AMPD2"
"cg14572307"	"0.722458011381745"	"NEK3;NEK3;NEK3;NEK3;NEK3;NEK3"
"cg25332265"	"0.659781173372606"	"NFATC1;NFATC1;NFATC1;NFATC1;NFATC1"
"cg10025200"	"0.619271160575342"	"SLC43A2"
"cg09306340"	"0.614131743931796"	"KLHDC9;KLHDC9;KLHDC9"
"cg17254701"	"0.453833778558628"	"CARD14"
"cg14857471"	"0.332197007024246"	""
"cg00726151"	"0.274504211281865"	""
"cg12894524"	"0.270975148056755"	"MAP1LC3B2"
"cg03281335"	"0.230397171750868"	"BLNK;BLNK"
"cg16051656"	"0.224693091830498"	""
"cg14840848"	"0.21231721028552"	""
"cg03009871"	"0.211881209817625"	"MAGI2"
"cg16185125"	"0.209897958637691"	"LOC285954;LOC285954"
"cg16877339"	"0.187755409679954"	""
"cg03982487"	"0.181367651871607"	"ZNF311"
"cg25562447"	"0.175048107475436"	"C19orf10"
"cg09936008"	"0.116235041077183"	"ZNF213;ZNF213"
"cg08175546"	"0.00694972199951773"	""
