""	"V1"	"V2"
"cg00689213"	"13.4012978256711"	"REG1P"
"cg20014398"	"12.9425838398508"	"PAX6;PAX6;PAX6"
"cg19451698"	"12.9156973180588"	"RHBDD1;RHBDD1"
"cg18064714"	"12.8075963425833"	"SP8;SP8"
"cg24127861"	"12.768233094913"	"REC8;REC8"
"cg11214140"	"12.7322892880738"	"SOX17"
"cg23186333"	"12.5481564318659"	"CD44;CD44;CD44;CD44;CD44"
"cg16098981"	"12.4968293618964"	"TMEM90B;TMEM90B"
"cg22904096"	"12.4881847691034"	"MYL1"
"cg20094837"	"12.2235124985283"	"NBEA"
"cg03562414"	"12.1615230549797"	"ZNF577;ZNF577;ZNF577"
"cg08036121"	"12.1516783782727"	"SH3BP4"
"cg23663760"	"12.1011401116678"	"WNT3A"
"Epi"	"12.0577831897321"	NA
"cg17161483"	"11.8293534520762"	""
"cg07022048"	"11.7436021458139"	"KRT7"
"cg02599464"	"11.5721503414306"	"HIST1H2BK;HIST1H4I"
"cg14566959"	"11.5456417162334"	"PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA8;PCDHGA7;PCDHGB2;PCDHGA8;PCDHGB3"
"cg10796805"	"11.3661902130476"	""
"cg12920393"	"11.1584779314492"	"HIST1H2BK;HIST1H4I"
"cg23598068"	"11.0429881925786"	"BAIAP2L1"
"cg08469346"	"11.0374801477356"	""
"cg17328659"	"10.9447999246583"	"STUB1"
"cg10249221"	"10.9346633783171"	""
"cg09155219"	"10.8740939754054"	"MDGA2"
"cg26307105"	"10.8296805444712"	"FCHO1;FCHO1;FCHO1;FCHO1"
"cg18556005"	"10.827255936758"	"MGA;MGA"
"cg02697237"	"10.80816021733"	"CPAMD8"
"cg00633552"	"10.6331664562797"	"PCDHGA4;PCDHGA2;PCDHGB2;PCDHGA1;PCDHGB1;PCDHGA3;PCDHGB2"
"cg21090298"	"10.6212397288807"	"MCF2L"
"cg15333426"	"10.4402606952622"	""
"cg19355079"	"10.1970408737104"	""
"cg27345757"	"10.1818661111639"	"MYLK;MYLK;MYLK;MYLK"
"cg04910970"	"10.1547050476675"	"PRDM13"
"cg14245135"	"10.0259928100712"	"SPOP;SPOP;SPOP;SPOP;SPOP;SPOP"
"cg10137837"	"9.98101490386399"	"BCL6B"
"cg06757585"	"9.94970359385392"	"PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA6;PCDHGB2;PCDHGB3"
"cg18004701"	"9.94673152144424"	"PTPRN2;PTPRN2;PTPRN2"
"cg21586203"	"9.94163675439489"	"FLJ23834"
"cg00606739"	"9.88915232814263"	"LOC440040"
"cg07760204"	"9.80742678639613"	""
"cg03818576"	"9.80655555605594"	"LRRC4C"
"cg17943279"	"9.73743194080018"	""
"cg26937943"	"9.72845865299771"	"KIAA0802"
"cg03609666"	"9.68763535223523"	"IZUMO1"
"cg27544190"	"9.59704797957509"	"C21orf63"
"cg01230796"	"9.52665741567013"	"SCGN"
"cg11396628"	"9.42327307237557"	"PSORS1C1"
"cg03839949"	"9.35402440738436"	"GATA2"
"cg15680755"	"9.33421598791265"	""
"cg17131445"	"9.31361031158416"	""
"cg04182321"	"9.30682793748926"	"RAB39"
"cg12627074"	"9.19384702419711"	""
"cg27582124"	"9.07844680099045"	"GALNT5"
"cg03614916"	"8.94454011028481"	"IMPACT"
"cg02119348"	"8.79142010686316"	"A2BP1;A2BP1;A2BP1;A2BP1"
"cg16717122"	"8.70052736549969"	"SCG3;SCG3;SCG3;SCG3"
"cg13684141"	"8.3839464871935"	"TRIM61;C4orf39"
"cg14789818"	"8.37368084538034"	""
"cg05725804"	"8.33788076323932"	"TRIM36;TRIM36;TRIM36;TRIM36;TRIM36;TRIM36"
"cg23802419"	"8.28811597729051"	"HHIP"
"cg22796507"	"8.18066283165107"	"FOXE3"
"cg09303645"	"8.0929507287485"	"TSPAN11"
"cg01620309"	"8.01631679662293"	"ADAM11"
"cg22040809"	"7.85371796739758"	"HCG11"
"cg03579624"	"7.67333703251475"	""
"cg04103706"	"7.52626873474563"	"LPP;LPP;LPP"
"cg09522056"	"7.33494391529333"	""
"cg01348004"	"7.26559634275565"	"SYNM;SYNM"
"cg15888097"	"7.2499893140674"	"HTR1E"
"cg04529370"	"7.24040557059251"	"NRG3;NRG3"
"cg01024444"	"7.20180825408745"	"HAS1"
"cg00400532"	"7.11120807430986"	""
"cg27294268"	"7.07017191782235"	"SFTA3"
"cg13278496"	"7.05006138017395"	"ZIC4"
"cg26195482"	"6.91676636913242"	"ASPG"
"cg11741201"	"6.85181662511191"	"FJX1"
"cg18162583"	"6.78663031180334"	""
"cg17380238"	"6.77108747994769"	"PPP1R13L;PPP1R13L"
"cg05238917"	"6.76288519216419"	""
"cg02046143"	"6.76222611516545"	"IGSF9B"
"cg14166009"	"6.75447406261728"	"HKR1"
"cg06413398"	"6.72360495229698"	"DDO;DDO"
"cg01530981"	"6.64866679274141"	"CAMK1G"
"cg01239651"	"6.46000792439377"	"PIK3R1;PIK3R1"
"cg22016779"	"6.45072667165795"	"DNER"
"cg25922624"	"6.41802325998281"	"TRIM2"
"cg13029847"	"6.40031558359343"	"SEZ6;SEZ6"
"cg02721902"	"6.32640815037414"	""
"cg14626309"	"6.28312588531577"	""
"cg00008033"	"6.219577207351"	"ZNF613;ZNF613"
"cg20124610"	"6.18316885540033"	"CARS2"
"cg22646393"	"6.15095737402879"	""
"cg13551227"	"5.96945759092401"	"KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2"
"cg25617012"	"5.84655157648318"	""
"cg08343644"	"5.80930010222306"	"GPR56;GPR56;GPR56;GPR56;GPR56;GPR56;GPR56"
"cg23170646"	"5.80486457170436"	""
"cg02872426"	"5.76172528160863"	"DDO;DDO"
"cg18128969"	"5.69925263846093"	"NCAM2"
"cg20902817"	"5.64122294341479"	""
"cg01264126"	"5.58777540324033"	"FNDC1"
"cg00848780"	"5.54841492185101"	"GIPR"
"cg14329157"	"5.53067099220421"	"WDR69"
"cg13165009"	"5.43914958155781"	"C17orf102"
"cg14012124"	"5.41991337100459"	"QRFPR;QRFPR"
"cg05632420"	"5.40990257306961"	"MKLN1;FLJ43663"
"cg06417752"	"5.32187315681878"	"ATP5L"
"cg19676181"	"5.31505001996547"	""
"cg09275956"	"5.25899070385828"	""
"cg25399162"	"5.24066786055964"	"BRUNOL4;BRUNOL4;BRUNOL4;BRUNOL4"
"cg17373442"	"5.21102578722529"	"CHST2"
"cg25988317"	"5.18479206151912"	"GATA5"
"cg09547119"	"5.07972802962728"	"ZNF577;ZNF577;ZNF577"
"cg02303677"	"5.05095185057115"	"TACR2"
"cg10264274"	"4.91062833416542"	""
"cg22127570"	"4.84010558197907"	""
"cg13893543"	"4.83202187848622"	"CNIH3"
"cg07103129"	"4.75999749905624"	"TFAP2B"
"cg01236063"	"4.70985503610266"	""
"cg02109162"	"4.68187360193694"	"SYNM;SYNM"
"cg15480367"	"4.65471836998564"	"CHGA;CHGA"
"cg19792581"	"4.6309234494484"	""
"cg11258485"	"4.58135115743592"	"LOC401010"
"cg19095600"	"4.55058612680122"	""
"cg04329455"	"4.53375470942184"	""
"cg25861169"	"4.52974100823389"	""
"cg05213896"	"4.51582387790756"	"IL4I1;IL4I1"
"cg04836851"	"4.48551657726648"	"PCDHB16"
"cg16903225"	"4.39680617525477"	"PDE1C"
"cg04673825"	"4.36697027493762"	"ZNF518B"
"cg15448975"	"4.30513653788606"	"CRMP1"
"cg01803886"	"4.29330288070367"	"CNTN4;CNTN4"
"cg11117878"	"4.28381465244982"	"TBX20;TBX20"
"cg20672981"	"4.2672076277209"	""
"cg23318893"	"4.19862455170161"	"HLA-J;NCRNA00171"
"cg18267374"	"4.1945468878756"	"NEFM;NEFM;NEFM"
"cg27422722"	"4.16910343729007"	""
"cg13046608"	"4.08768528683821"	"SLC43A3;SLC43A3;SLC43A3"
"cg21365094"	"4.03381929722905"	"GLRA3;GLRA3"
"cg09375063"	"4.01366595440525"	"ACTL6B"
"cg16697850"	"3.96357290069035"	"MOXD2"
"cg10372770"	"3.95782305203539"	""
"cg08263416"	"3.90473008568897"	"RGS6"
"cg20592391"	"3.88079764376747"	"AP3B2"
"cg10947146"	"3.86623342125005"	"XKR6"
"cg09393254"	"3.84621588776476"	"MCHR2;MCHR2"
"cg19050940"	"3.81149276163502"	""
"cg01978237"	"3.78778618986901"	"SIM1"
"cg01908010"	"3.78462823140917"	"CBLN2"
"cg20997268"	"3.72444004817898"	"CREB5"
"cg20816447"	"3.68297278956684"	"CC2D2A;CC2D2A;CC2D2A"
"cg05977669"	"3.58844742556336"	"HOXA11AS;HOXA11"
"cg07434944"	"3.54923645397272"	""
"cg05554039"	"3.54747082876468"	"MAP6;MAP6"
"cg05211868"	"3.50056539055524"	""
"cg00469856"	"3.47154444395675"	"FIGLA"
"cg02189888"	"3.4497101136561"	""
"cg20638016"	"3.42399682431076"	"BSX"
"cg23524735"	"3.39706509340481"	"PTH2R"
"cg21865845"	"3.29567891450963"	"ROBO1"
"cg18779283"	"3.21622884969697"	"LIMD1"
"cg08754067"	"3.19092788375574"	"SNORD72;RPL37"
"cg12285988"	"3.17046554280924"	""
"cg07737135"	"3.15519576984973"	"MUM1;MUM1"
"cg09417809"	"3.11362450217727"	""
"cg15772157"	"3.02103164580057"	""
"cg24429836"	"2.88910400356871"	"LDHD;LDHD"
"cg02944084"	"2.86868743436432"	""
"cg16033053"	"2.83143882362572"	"MKX"
"cg21132536"	"2.83029139899003"	"ACSS2;ACSS2;ACSS2"
"cg06878361"	"2.8168562597183"	"ZNF577;ZNF577;ZNF577"
"cg00804078"	"2.6633174344294"	"DDO;DDO"
"cg08318076"	"2.52665251597692"	""
"cg14837598"	"2.51609436191661"	"EPB49;EPB49;EPB49;EPB49;EPB49;EPB49"
"cg10635122"	"2.4879892068447"	"ZNF577;ZNF577;ZNF577;ZNF577"
"cg00481644"	"2.48149162861217"	"LOC254559"
"cg09883286"	"2.46121172781298"	"USP44;USP44"
"cg24190603"	"2.44564429899978"	"SNAP91;SNAP91"
"cg18918321"	"2.4357497139343"	""
"cg08734918"	"2.42896397945288"	"EPHA7"
"cg03388789"	"2.41866100898462"	"ZIC4;ZIC4;ZIC4"
"cg02071825"	"2.29018749475163"	"PPM1E"
"cg15640503"	"2.21833594929147"	""
"cg03530962"	"2.21448035638967"	""
"cg07644740"	"2.17090070086442"	""
"cg17183905"	"2.06200443991457"	"TRPV4;TRPV4"
"cg20296493"	"1.99634596261343"	"FAM83A;FAM83A"
"cg11655130"	"1.99625972049757"	""
"cg21084284"	"1.9646732081174"	"SYNM;SYNM"
"cg00481951"	"1.9154339508193"	"SST"
"cg03691549"	"1.8987685487992"	"TENC1;TENC1;TENC1;TENC1"
"cg19119032"	"1.82669739340543"	"CDH7;CDH7"
"cg12874035"	"1.81580279581035"	"CAMKV"
"cg06081518"	"1.75501626383789"	""
"cg11107212"	"1.62385169482094"	""
"cg23309670"	"1.61641816237245"	"CPNE5"
"cg09046979"	"1.60206928048823"	"SBK1"
"cg23493016"	"1.59513929000285"	"SORCS3"
"cg18736063"	"1.59509397866348"	"NKX2-4"
"cg19542707"	"1.49962344912223"	""
"cg00017489"	"1.49481001148971"	"DPP6"
"cg16206659"	"1.48197855666839"	""
"cg26843711"	"1.47281514949096"	"PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA6;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGB3"
"cg26608718"	"1.4398698737173"	"AKAP8L"
"cg22809047"	"1.40561728925188"	"RPL31;RPL31;RPL31"
"cg20270188"	"1.39949933469903"	"BCAN;BCAN;BCAN;BCAN"
"cg12810212"	"1.36499255922999"	"C2orf52"
"cg03782584"	"1.35606846335858"	"SPOPL"
"cg13267264"	"1.29346420002357"	"PRDM14"
"cg01485075"	"1.28860776629892"	"ZNF492"
"cg15894389"	"1.2457670167725"	"HTR2A;HTR2A;HTR2A"
"cg23495748"	"1.23848781642059"	"CPLX2;CPLX2"
"cg14643586"	"1.17828520445651"	""
"cg25423004"	"1.14137588097137"	"HOXD8"
"cg23194609"	"1.13914028849087"	"FAM135A;FAM135A"
"cg16563370"	"1.12351739256356"	"SLFN13"
"cg12969644"	"1.12287648922461"	"RASEF"
"cg14818413"	"1.0948956602822"	"C3orf63"
"cg02409177"	"1.04425976067747"	"ADRA1A;ADRA1A;ADRA1A;ADRA1A"
"cg09862801"	"0.904705164114932"	""
"cg06315598"	"0.863077253834838"	""
"cg21185662"	"0.857951202466034"	"ANO6;ANO6;ANO6"
"cg01089319"	"0.835670668394626"	"GAD1;GAD1"
"cg14193129"	"0.833492103381496"	""
"cg16431787"	"0.753138779998076"	"LOC285768;LOC285768"
"cg12464638"	"0.614453447323797"	"TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4"
"cg09628195"	"0.590022659964785"	""
"cg02639634"	"0.565663421861188"	"RGS20;RGS20"
"cg22629065"	"0.564001895471164"	"OR8H1"
"cg10552523"	"0.563220997335347"	"IFITM1"
"cg11668749"	"0.560714277278071"	"ACTA1"
"cg27029821"	"0.496348538606217"	"PRDM14"
"cg20807701"	"0.441764488291221"	"THAP5;DNAJB9;THAP5;THAP5"
"cg05593336"	"0.417371350597169"	""
"cg03019000"	"0.407178025691826"	"TEX264;TEX264;TEX264"
"cg16055241"	"0.393159180482428"	""
"cg18437365"	"0.356622219942572"	""
"cg12627071"	"0.356062499821055"	""
"cg18781988"	"0.353838090629111"	"PCDHGA2;PCDHGA3;PCDHGA1;PCDHGA3"
"cg16818395"	"0.261207956337519"	""
"cg23934731"	"0.207090743061695"	""
"cg06593715"	"0.164467441422749"	"CCDC13"
"cg00328870"	"0.12421810809686"	""
"cg24076884"	"0.100206479014854"	"PCDHAC2;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA6;PCDHA1;PCDHA2;PCDHA1;PCDHA9;PCDHA13;PCDHA5;PCDHAC1;PCDHA3;PCDHAC2;PCDHA10"
"cg15021292"	"0.100099408558425"	"PIK3R1"
"cg01528542"	"0.0988865698005575"	""
"cg13915538"	"0.0785144883199415"	"ZNF676"
"cg11595082"	"0.0769036535686669"	"AK5;AK5;AK5"
"cg18531004"	"0.0571917034523217"	""
"cg20892990"	"0.0557297282525279"	"FGF4"
"cg27514080"	"0.050790753995677"	""
"cg02964555"	"0.0472898847789473"	"NR4A2"
"cg19585597"	"0.0457163277257592"	"LOC134466"
"cg12606396"	"0.0432424740308107"	"PCDH17"
"cg13586599"	"0.0346043367909324"	"SCGN"
"cg08357125"	"0.01045161989094"	""
